datetime,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,RSI_AAPL,MA100_AAPL,MA200_AAPL,BBL_AAPL,BBM_AAPL,BBU_AAPL,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,RSI_GOOGL,OBV_GOOGL,MACD_GOOGL,MACD_signal_GOOGL,MACD_hist_GOOGL,TARGET_close_AAPL
2005-06-20,1.35179,1.36036,1.3375,1.34321,323716400.0,,,,,,,6.90916,7.19895,6.80005,7.17467,840147012.0,,840147012.0,,,,1.34321
2005-06-21,1.34714,1.36393,1.335,1.35214,370526800.0,,,,,,,7.20896,7.26476,7.13138,7.2032,604686708.0,,1444833720.0,,,,1.35214
2005-06-22,1.36643,1.37857,1.36214,1.37679,424925200.0,,,,,,,7.249,7.31531,7.22397,7.23974,418541040.0,,1863374760.0,,,,1.37679
2005-06-23,1.38679,1.42071,1.38036,1.38893,674254000.0,,,,,,,7.20721,7.37763,7.16967,7.25,561693744.0,,2425068504.0,,,,1.38893
2005-06-24,1.39607,1.39714,1.34571,1.34857,410709600.0,,,,,,,7.27978,7.45746,7.24675,7.43869,710137152.0,,3135205656.0,,,,1.34857
2005-06-27,1.31571,1.36071,1.31,1.325,600171600.0,,,,,,,7.47998,7.61937,7.35385,7.61011,711403884.0,,3846609540.0,,,,1.325
2005-06-28,1.33893,1.3425,1.3275,1.3325,350299600.0,,,,,,,7.66467,7.73899,7.55756,7.55756,760698540.0,,3085911000.0,,,,1.3325
2005-06-29,1.32964,1.33179,1.29,1.29893,448358400.0,,,,,,,7.57007,7.61712,7.31106,7.32533,731216052.0,,2354694948.0,,,,1.29893
2005-06-30,1.3075,1.32714,1.29679,1.31464,418390000.0,,,,,,,7.36587,7.48073,7.28328,7.36111,603172224.0,,2957867172.0,,,,1.31464
2005-07-01,1.31536,1.32036,1.29607,1.30357,250000800.0,,,,,,,7.38338,7.41341,7.23774,7.28854,368734896.0,,2589132276.0,,,,1.30357
2005-07-05,1.30536,1.3625,1.30357,1.35643,454269200.0,,,,,,,7.30981,7.40691,7.26301,7.40015,299460240.0,,2888592516.0,,,,1.35643
2005-07-06,1.34679,1.36286,1.32857,1.33536,394626400.0,,,,,,,7.43994,7.44745,7.29179,7.29529,319691988.0,,2568900528.0,,,,1.33536
2005-07-07,1.31464,1.34857,1.31429,1.34393,383723200.0,,,,,,,7.24199,7.4024,7.21997,7.3959,426457116.0,,2995357644.0,,,,1.34393
2005-07-08,1.3525,1.36714,1.33821,1.36607,290735200.0,,,,,,,7.41366,7.44494,7.35861,7.41316,298005696.0,,3293363340.0,,,,1.36607
2005-07-11,1.37036,1.38036,1.34929,1.36071,388788400.0,55.283595330817,,,,,,7.41742,7.42242,7.28278,7.34109,335276388.0,52.76031387893381,2958086952.0,,,,1.36071
2005-07-12,1.36536,1.37143,1.35393,1.36571,387038400.0,56.57155826266621,,,,,,7.34209,7.36737,7.28053,7.3018,234361404.0,50.07961291305603,2723725548.0,,,,1.36571
